Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Activity,Level of requirement,Observation Status,Reporting Type,Units,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",276,Germany,TOTAL,TOTAL,A,G,NUMBER,,87,128,141,19,28,213,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",292,Gibraltar,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",300,Greece,TOTAL,TOTAL,A,G,NUMBER,,11,13,15,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",831,Guernsey,TOTAL,TOTAL,A,G,NUMBER,,1,2,6,8,11,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",348,Hungary,TOTAL,TOTAL,A,G,NUMBER,,3,3,3,3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",352,Iceland,TOTAL,TOTAL,A,G,NUMBER,,,,,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",356,India,TOTAL,TOTAL,A,G,NUMBER,,87,94,134,15,23,562,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",372,Ireland,TOTAL,TOTAL,A,G,NUMBER,,21,24,3,34,35,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",833,Isle of Man,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",376,Israel,TOTAL,TOTAL,A,G,NUMBER,,5,6,7,9,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",380,Italy,TOTAL,TOTAL,A,G,NUMBER,,45,79,86,17,116,117,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",392,Japan,TOTAL,TOTAL,A,G,NUMBER,,256,273,298,316,34,373,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",832,Jersey,TOTAL,TOTAL,A,G,NUMBER,,3,3,4,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",400,Jordan,TOTAL,TOTAL,A,G,NUMBER,,1,1,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",398,Kazakhstan,TOTAL,TOTAL,A,G,NUMBER,,2,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",404,Kenya,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",414,Kuwait,TOTAL,TOTAL,A,G,NUMBER,,3,4,4,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",419,Latin America and the Caribbean,TOTAL,TOTAL,A,G,NUMBER,103,128,123,174,194,229,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",438,Liechtenstein,TOTAL,TOTAL,A,G,NUMBER,,,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",440,Lithuania,TOTAL,TOTAL,A,G,NUMBER,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",442,Luxembourg,TOTAL,TOTAL,A,G,NUMBER,,9,12,16,26,28,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",458,Malaysia,TOTAL,TOTAL,A,G,NUMBER,,49,52,56,62,264,313,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",470,Malta,TOTAL,TOTAL,A,G,NUMBER,,1,3,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",480,Mauritius,TOTAL,TOTAL,A,G,NUMBER,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",484,Mexico,TOTAL,TOTAL,A,G,NUMBER,,29,3,34,37,57,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",492,Monaco,TOTAL,TOTAL,A,G,NUMBER,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",496,Mongolia,TOTAL,TOTAL,A,G,NUMBER,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",504,Morocco,TOTAL,TOTAL,A,G,NUMBER,,2,2,2,3,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",528,Netherlands (Kingdom of the),TOTAL,TOTAL,A,G,NUMBER,,34,44,49,54,57,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",554,New Zealand,TOTAL,TOTAL,A,G,NUMBER,,2,25,28,35,45,49,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",566,Nigeria,TOTAL,TOTAL,A,G,NUMBER,,,,1,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",578,Norway,TOTAL,TOTAL,A,G,NUMBER,,21,44,51,68,71,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",586,Pakistan,TOTAL,TOTAL,A,G,NUMBER,,,,1,2,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",591,Panama,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",604,Peru,TOTAL,TOTAL,A,G,NUMBER,,3,5,6,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",608,Philippines,TOTAL,TOTAL,A,G,NUMBER,,15,19,25,29,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",616,Poland,TOTAL,TOTAL,A,G,NUMBER,,17,23,27,28,29,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",620,Portugal,TOTAL,TOTAL,A,G,NUMBER,,7,12,12,12,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",630,Puerto Rico,TOTAL,TOTAL,A,G,NUMBER,,,,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",634,Qatar,TOTAL,TOTAL,A,G,NUMBER,,1,3,3,5,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",410,Republic of Korea,TOTAL,TOTAL,A,G,NUMBER,,26,31,36,45,5,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",642,Romania,TOTAL,TOTAL,A,G,NUMBER,,,,1,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",643,Russian Federation,TOTAL,TOTAL,A,G,NUMBER,,4,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",682,Saudi Arabia,TOTAL,TOTAL,A,G,NUMBER,,3,1,13,15,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",702,Singapore,TOTAL,TOTAL,A,G,NUMBER,,3,37,73,85,89,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",705,Slovenia,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",710,South Africa,TOTAL,TOTAL,A,G,NUMBER,,87,88,97,98,11,15,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",724,Spain,TOTAL,TOTAL,A,G,NUMBER,,32,49,51,53,56,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",144,Sri Lanka,TOTAL,TOTAL,A,G,NUMBER,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",752,Sweden,TOTAL,TOTAL,A,G,NUMBER,,58,98,132,197,216,237,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",756,Switzerland,TOTAL,TOTAL,A,G,NUMBER,,53,73,88,113,123,133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",764,Thailand,TOTAL,TOTAL,A,G,NUMBER,,3,35,74,14,149,154,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.6,12.6.1,EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",768,Togo,TOTAL,TOTAL,A,G,NUMBER,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
